"adire","go to","Present active infinitive","to go to the city",595
"aditum","go to","Accusative supine","in order to go there",595
"adsum","be present","Present indicative first-person singular","I am present in the meeting",279
"adveni","arrive at","Perfect active first-person singular","I arrived at the city",987
"adveni","come to","Perfect active first-person singular","I came to the gate",987
"advenio","arrive at","Present indicative first-person singular","I arrive at the city",987
"advenio","come to","Present indicative first-person singular","I come to the gate",987
"advenire","arrive at","Present active infinitive","to arrive at the city",987
"advenire","come to","Present active infinitive","to come to the gate",987
"adventum","arrive at","Accusative supine","in order to arrive there",987
"adventum","come to","Accusative supine","in order to come here",987
"adversa","facing","Feminine nominative singular","She stands facing the crowd",657
"adversa","opposed","Feminine nominative singular","She is opposed to the proposal",657
"adversa","unfavorable","Feminine nominative singular","She overcame unfavorable circumstances",657
"adversum","against","Preposition + acc","They revolted against tyranny",460
"adversum","facing","Adverb","They marched facing danger",460
"adversum","facing","Neuter nominative singular","The cliff is facing the sea",657
"adversum","opposed to","Preposition + acc","She remains opposed to the verdict",460
"adversum","opposed","Neuter nominative singular","This is opposed to reason",657
"adversum","opposite","Adverb","Their tent is opposite ours",460
"adversum","turn towards","Accusative supine","in order to turn towards",986
"adversum","unfavorable","Neuter nominative singular","That is an unfavorable situation",657
"adversus","against","Preposition + acc","He fought against his foe",460
"adversus","facing","Adverb","He stood facing the problem",460
"adversus","facing","Masculine nominative singular","He stands facing the enemy",657
"adversus","opposed to","Preposition + acc","He is opposed to injustice",460
"adversus","opposed","Masculine nominative singular","He is opposed to the plan",657
"adversus","opposite","Adverb","The shop is opposite the school",460
"adversus","unfavorable","Masculine nominative singular","He faced unfavorable odds",657
"advertere","turn towards","Present active infinitive","to turn towards the light",986
"adverti","turn towards","Perfect active first-person singular","I turned towards the light",986
"adverto","turn towards","Present indicative first-person singular","I turn towards the light",986
"aedes","building","Nominative singular","The building is tall",965
"aedes","house","Nominative plural","Their houses are large",965
"aedis","building","Genitive singular","The doors of the building",965
"aedium","house","Genitive plural","The roofs of the houses",965
"aeger","sick","Masculine nominative singular","The man is sick",810
"aegra","sick","Feminine nominative singular","The woman is sick",810
"aegre","with difficulty","Adverb","He completed the work with difficulty",984
"aegrum","sick","Neuter nominative singular","The creature is sick",810
"aequa","equal","Feminine nominative singular","She receives equal treatment",610
"aeque","equally","Adverb","They divided the spoils equally",904
"aequor","level surface","Nominative singular","The level surface shone in the sun",424
"aequor","plain","Nominative singular","The plain extends far",424
"aequor","sea","Nominative singular","The sea stretches endlessly",424
"aequoris","level surface","Genitive singular","The reflection of the level surface",424
"aequoris","plain","Genitive singular","The edge of the plain",424
"aequoris","sea","Genitive singular","The depths of the sea",424
"aequum","equal","Neuter nominative singular","This law is equal for all",610
"aequus","equal","Masculine nominative singular","He deserves equal rights",610
"aer","air","Nominative singular","The air is crisp",845
"aeris","air","Genitive singular","The humidity of the air",845
"aeris","bronze","Genitive singular","The value of the bronze",744
"aeris","copper","Genitive singular","The price of the copper",744
"aes","bronze","Nominative singular","The shield is bronze",744
"aes","copper","Nominative singular","The wire is copper",744
"aetas","age","Nominative singular","His age is impressive",308
"aetas","time of life","Nominative singular","Childhood is a joyful time of life",308
"aetatis","age","Genitive singular","In the twilight of his age",308
"aetatis","time of life","Genitive singular","The responsibilities of his time of life",308
"aeterna","eternal","Feminine nominative singular","She hopes for eternal glory",734
"aeternum","eternal","Neuter nominative singular","This love is eternal",734
"aeternus","eternal","Masculine nominative singular","He prays for eternal peace",734
"aether","ether","Nominative singular","The ether was revered by ancients",851
"aether","heaven","Nominative singular","Heaven stretches above",851
"aether","sky","Nominative singular","The sky is bright blue",851
"aether","upper air","Nominative singular","The upper air is clear",851
"aetheris","ether","Genitive singular","The vastness of the ether",851
"aetheris","heaven","Genitive singular","The glory of heaven",851
"aetheris","sky","Genitive singular","The expanse of the sky",851
"aetheris","upper air","Genitive singular","He admires the color of the upper air",851
"aevi","age","Genitive singular","The relics of that age",875
"aevi","eternity","Genitive singular","The concept of eternity",875
"aevi","lifetime","Genitive singular","Reflection on one's lifetime",875
"aevum","age","Nominative singular","He was born in a distant age",875
"aevum","eternity","Nominative singular","Eternity transcends time",875
"aevum","lifetime","Nominative singular","A lifetime passes quickly",875
"affeci","affect","Perfect active first-person singular","I affected his mood",958
"affeci","visit with","Perfect active first-person singular","I visited him with gifts",958
"affectum","affect","Accusative supine","in order to affect his mood",958
"affectum","visit with","Accusative supine","in order to visit him",958
"affero","bring to","Present indicative first-person singular","I bring the news",514
"afferre","bring to","Present active infinitive","to bring the news",514
"afficere","affect","Present active infinitive","to affect his mood",958
"afficere","visit with","Present active infinitive","to visit him with gifts",958
"afficio","affect","Present indicative first-person singular","I affect his mood",958
"afficio","visit with","Present indicative first-person singular","I visit him with gifts",958
"affui","be present","Perfect active first-person singular","I was present at the ceremony",279
"afui","be away","Perfect active first-person singular","I was away",445
"ager","field","Nominative singular","The field lies fallow",324
"agere","act","Present active infinitive","to act on stage",69
"agere","do","Present active infinitive","to do my duty",69
"agere","drive","Present active infinitive","to drive the herd forward",69
"agitare","drive","Present active infinitive","to drive the cattle",578
"agitare","stir up","Present active infinitive","to stir up controversy",578
"agitatum","drive","Accusative supine","in order to drive the cattle",578
"agitatum","stir up","Accusative supine","in order to stir up trouble",578
"agitavi","drive","Perfect active first-person singular","I drove the cattle",578
"agitavi","stir up","Perfect active first-person singular","I stirred up controversy",578
"agito","drive","Present indicative first-person singular","I drive the cattle",578
"agito","stir up","Present indicative first-person singular","I stir up controversy",578
"agmen","army column","Nominative singular","The army column stretched for miles",358
"agmen","line of march","Nominative singular","The line of march advanced",358
"agminis","army column","Genitive singular","The discipline of the army column",358
"agminis","line of march","Genitive singular","The length of the line of march",358
"ago","act","Present indicative first-person singular","I act in a play",69
"ago","do","Present indicative first-person singular","I do my duty",69
"ago","drive","Present indicative first-person singular","I drive the herd forward",69
"agri","field","Genitive singular","The boundaries of the field",324
"aio","affirm","Present indicative first-person singular","I affirm his statement",406
"aio","say yes","Present indicative first-person singular","I say yes to the offer",406
"aio","say","Present indicative first-person singular","I say my piece",406
"ait","affirm","Present indicative third-person singular","He affirms the claim",406
"ait","say yes","Present indicative third-person singular","He says yes to the invitation",406
"ait","say","Present indicative third-person singular","He says it is true",406
"aiunt","affirm","Present indicative third-person plural","They affirm the request",406
"aiunt","say yes","Present indicative third-person plural","They say yes to the agreement",406
"aiunt","say","Present indicative third-person plural","They say so",406
"alba","white","Feminine nominative singular","She carries a white flower",925
"album","white","Neuter nominative singular","This cloth is white",925
"albus","white","Masculine nominative singular","He wears a white robe",925
"alere","feed","Present active infinitive","to feed the animals",817
"alere","nourish","Present active infinitive","to nourish the plant",817
"alia","another","Feminine nominative singular","She needs another chance",37
"alia","at another time","Adverb","She will return at another time",37
"alia","other","Feminine nominative singular","She sees the other option",37
"aliena","foreign","Feminine nominative singular","She encounters foreign customs",367
"aliena","strange","Feminine nominative singular","She notices a strange figure",367
"alienum","foreign","Neuter nominative singular","This place is foreign to me",367
"alienum","strange","Neuter nominative singular","This concept is strange",367
"alienus","foreign","Masculine nominative singular","He travels in a foreign land",367
"alienus","strange","Masculine nominative singular","He has a strange accent",367
"aliqua","any","Feminine nominative singular","She doesn't see any solution",77
"aliqua","anyone who","Feminine nominative singular","Anyone who studies will pass",77
"aliqua","anything that","Feminine nominative singular","Anything that shines catches her eye",77
"aliqua","some","Feminine nominative singular","Some woman arrived",77
"aliquando","at length","Adverb","He spoke at length on the matter",763
"aliquando","at some time","Adverb","We shall succeed at some time",763
"aliquis","any","Masculine nominative singular","Do you have any question?",77
"aliquis","anyone who","Masculine nominative singular","Anyone who listens will learn",77
"aliquis","anything that","Masculine nominative singular","Anything that helps is welcome",77
"aliquis","some","Masculine nominative singular","Some man is here",77
"aliquod","any","Neuter nominative singular","He didn't have any food",77
"aliquod","anyone who","Neuter nominative singular","Anyone who tries can succeed",77
"aliquod","anything that","Neuter nominative singular","Anything that remains is donated",77
"aliquod","some","Neuter nominative singular","Some thing remains unknown",77
"aliter","differently","Adverb","They think differently",782
"aliter","otherwise","Adverb","He could not act otherwise",782
"alitum","feed","Accusative supine","in order to feed the animals",817
"alitum","nourish","Accusative supine","in order to nourish the plant",817
"aliud","another","Neuter nominative singular","We require another method",37
"aliud","at another time","Adverb","We meet at another time",37
"aliud","other","Neuter nominative singular","They chose the other path",37
"alius","another","Masculine nominative singular","He found another solution",37
"alius","at another time","Adverb","He will leave at another time",37
"alius","other","Masculine nominative singular","He trusts the other man",37
"allatum","bring to","Accusative supine","in order to bring the news",514
"alo","feed","Present indicative first-person singular","I feed the animals",817
"alo","nourish","Present indicative first-person singular","I nourish the plant",817
"alta","deep","Feminine nominative singular","She gazed into a deep valley",159
"alta","high","Feminine nominative singular","She climbs a high tower",159
"alter","second","Masculine nominative singular","He was the second runner",148
"alter","the other of two","Masculine nominative singular","He chose the other of two paths",148
"altera","second","Feminine nominative singular","She was the second competitor",148
"altera","the other of two","Feminine nominative singular","She held the other of two opinions",148
"alterum","second","Neuter nominative singular","The second option is viable",148
"alterum","the other of two","Neuter nominative singular","The group took the other of two routes",148
"altum","deep","Neuter nominative singular","That trench is deep",159
"altum","high","Neuter nominative singular","This cliff is high",159
"altus","deep","Masculine nominative singular","He dived into a deep pool",159
"altus","high","Masculine nominative singular","He stands on a high wall",159
"alui","feed","Perfect active first-person singular","I fed the animals",817
"alui","nourish","Perfect active first-person singular","I nourished the plant",817
"amans","lover","Nominative singular","A lover waits patiently",219
"amantis","lover","Genitive singular","The words of a lover",219
"amare","love","Present active infinitive","to love is human",219
"amatum","love","Accusative supine","in order to love truly",219
"amavi","love","Perfect active first-person singular","I loved deeply",219
"amica","friendly","Feminine nominative singular","She gave a friendly smile",198
"amici","friend","Genitive singular","The loyalty of a friend",198
"amicitia","friendship","Nominative singular","Their friendship is unbreakable",690
"amicitiae","friendship","Genitive singular","The value of friendship",690
"amicum","friendly","Neuter nominative singular","That gesture was friendly",198
"amicus","friend","Nominative singular","A friend is loyal",198
"amicus","friendly","Masculine nominative singular","He is a friendly neighbor",198
"amisi","let go","Perfect active first-person singular","I let go of my regrets",486
"amisi","send away","Perfect active first-person singular","I sent away the messenger",486
"amissum","let go","Accusative supine","in order to let go completely",486
"amissum","send away","Accusative supine","in order to send away the messenger",486
"amittere","let go","Present active infinitive","to let go of burdens",486
"amittere","send away","Present active infinitive","to send away the messenger",486
"amitto","let go","Present indicative first-person singular","I let go of my fears",486
"amitto","send away","Present indicative first-person singular","I send away the messenger",486
"amnis","river","Genitive singular","The banks of the river",467
"amnis","river","Nominative singular","The river flows steadily",467
"amnis","torrent","Genitive singular","The fury of the torrent",467
"amnis","torrent","Nominative singular","The torrent raged after the storm",467
"amo","love","Present indicative first-person singular","I love the song",219
"amor","affection","Nominative singular","Affection warms the heart",116
"amor","love","Nominative singular","Love conquers all",116
"amoris","affection","Genitive singular","The depth of affection",116
"amoris","love","Genitive singular","The power of love",116
"ampla","large","Feminine nominative singular","She entered a large hall",915
"ampla","spacious","Feminine nominative singular","She walked into a spacious courtyard",915
"amplum","large","Neuter nominative singular","That field is large",915
"amplum","spacious","Neuter nominative singular","The chamber is spacious",915
"amplus","large","Masculine nominative singular","He owns a large estate",915
"amplus","spacious","Masculine nominative singular","He built a spacious house",915
"an","or","Conjunction","Do you travel by land or sea?",94
"an","whether ... or","Conjunction","They wonder whether to stay or go",94
"anima","breath","Nominative singular","Her breath was calm",493
"anima","spirit","Nominative singular","Her spirit soared",493
"animae","breath","Genitive singular","The faint sound of her breath",493
"animae","spirit","Genitive singular","The essence of her spirit",493
"animal","animal","Nominative singular","The lion is a fierce animal",547
"animal","living being","Nominative singular","A human is a living being",547
"animalis","animal","Genitive singular","The habits of an animal",547
"animalis","living being","Genitive singular","The instincts of a living being",547
"animi","mind","Genitive singular","The workings of his mind",40
"animi","spirit","Genitive singular","The fortitude of his spirit",40
"animus","mind","Nominative singular","His mind is sharp",40
"animus","spirit","Nominative singular","His spirit is strong",40
"anni","year","Genitive singular","The course of the year",167
"annus","year","Nominative singular","The year passes quickly",167
"ante","before","Adverb","He arrived before dawn",112
"ante","in front of","Preposition + acc","He stood in front of the gate",112
"antequam","before","Conjunction","He departed before the storm arrived",787
"antiqua","ancient","Feminine nominative singular","She studies ancient texts",617
"antiqua","former","Feminine nominative singular","She is a former resident",617
"antiqua","old-time","Feminine nominative singular","She loves old-time stories",617
"antiquum","ancient","Neuter nominative singular","This monument is ancient",617
"antiquum","former","Neuter nominative singular","That was a former custom",617
"antiquum","old-time","Neuter nominative singular","That festival is old-time",617
"antiquus","ancient","Masculine nominative singular","He admires the ancient ruins",617
"antiquus","former","Masculine nominative singular","He is a former champion",617
"antiquus","old-time","Masculine nominative singular","He follows old-time traditions",617
"aperio","open","Present indicative first-person singular","I open the door",837
"aperire","open","Present active infinitive","to open the door",837
"apertum","open","Accusative supine","in order to open the gate",837
"aperui","open","Perfect active first-person singular","I opened the window",837
"appareo","appear","Present indicative first-person singular","I appear from the shadows",830
"appareo","become visible","Present indicative first-person singular","I become visible in the mist",830
"apparere","appear","Present active infinitive","to appear suddenly",830
"apparere","become visible","Present active infinitive","to become visible at dawn",830
"apparui","appear","Perfect active first-person singular","I appeared without warning",830
"apparui","become visible","Perfect active first-person singular","I became visible after the fog",830
"appellare","address","Present active infinitive","to address the court",700
"appellare","call","Present active infinitive","to call a friend",700
"appellare","name","Present active infinitive","to name the project",700
"appellatum","address","Accusative supine","in order to address them",700
"appellatum","call","Accusative supine","in order to call him",700
"appellatum","name","Accusative supine","in order to name it",700
"appellavi","address","Perfect active first-person singular","I addressed the council",700
"appellavi","call","Perfect active first-person singular","I called him over",700
"appellavi","name","Perfect active first-person singular","I named the child Marcus",700
"appello","address","Present indicative first-person singular","I address the assembly",700
"appello","call","Present indicative first-person singular","I call him by name",700
"appello","name","Present indicative first-person singular","I name this creation",700
"apta","fit","Feminine nominative singular","She is fit for the position",916
"apta","suitable","Feminine nominative singular","She wore a suitable outfit",916
"aptum","fit","Neuter nominative singular","It is fit for purpose",916
"aptum","suitable","Neuter nominative singular","That tool is suitable for the job",916
"aptus","fit","Masculine nominative singular","He is fit for the task",916
"aptus","suitable","Masculine nominative singular","He found a suitable moment",916
"apud","in the presence of","Preposition + acc","He spoke in the presence of the king",205
"apud","near","Preposition + acc","He lives near the riverbank",205
"aqua","water","Nominative singular","Water is vital for life",272
"aquae","water","Genitive singular","The color of the water is clear",272
"ara","altar","Nominative singular","The altar is decorated with flowers",374
"arae","altar","Genitive singular","The offerings on the altar",374
"arbitrari","consider","Present infinitive (deponent)","to consider all angles",963
"arbitrari","think","Present infinitive (deponent)","to think seriously",963
"arbitratus sum","consider","Perfect indicative first-person singular (deponent)","I have considered the evidence",963
"arbitratus sum","think","Perfect indicative first-person singular (deponent)","I have thought it through fully",963
"arbitror","consider","Present indicative first-person singular","I consider every possibility",963
"arbitror","think","Present indicative first-person singular","I think about the solution",963
"arbor","tree","Nominative singular","The tree stands tall",468
"arboris","tree","Genitive singular","The leaves of the tree",468
"arcis","castle","Genitive singular","The walls of the castle stood firm",638
"arcis","citadel","Genitive singular","The defenses of the citadel",638
"arcis","summit","Genitive singular","The view from the summit's peak",638
"ardeo","be eager","Present indicative first-person singular","I am eager to begin",618
"ardeo","blaze","Present indicative first-person singular","I blaze with anger",618
"ardeo","glow","Present indicative first-person singular","I glow with warmth",618
"ardere","be eager","Present active infinitive","to be eager for success",618
"ardere","blaze","Present active infinitive","to blaze fiercely",618
"ardere","glow","Present active infinitive","to glow softly",618
"argenti","money","Genitive singular","The power of money",849
"argenti","silver","Genitive singular","The luster of silver",849
"argentum","money","Nominative singular","Money changes hands quickly",849
"argentum","silver","Nominative singular","Silver shines in the moonlight",849
"arma","arms","Nominative plural","They prepared their arms for battle",98
"arma","weapons","Nominative plural","They stored the weapons safely",98
"armorum","arms","Genitive plural","The sound of arms clashing",98
"armorum","weapons","Genitive plural","The forging of weapons took time",98
"ars","skill","Nominative singular","Skill grows with practice",258
"arsi","be eager","Perfect active first-person singular","I was eager to attempt it",618
"arsi","blaze","Perfect active first-person singular","I blazed in the night",618
"arsi","glow","Perfect active first-person singular","I glowed under the sunset",618
"arsum","be eager","Accusative supine","in order to be eager for victory",618
"arsum","blaze","Accusative supine","in order to blaze forth",618
"arsum","glow","Accusative supine","in order to glow brightly",618
"artis","skill","Genitive singular","The secrets of skill",258
"arvi","field","Genitive singular","The fertility of the field",637
"arvi","ploughed land","Genitive singular","The boundaries of the ploughed land",637
"arvum","field","Nominative singular","The field stretched to the horizon",637
"arvum","ploughed land","Nominative singular","The ploughed land was ready for seed",637
"arx","castle","Nominative singular","The castle rose on the hillside",638
"arx","citadel","Nominative singular","The citadel towered above the town",638
"arx","summit","Nominative singular","The summit was shrouded in clouds",638
"ascendere","ascend","Present active infinitive","to ascend the tall mountain",990
"ascendere","climb up","Present active infinitive","to climb up the staircase",990
"ascendi","ascend","Perfect active first-person singular","I ascended to the summit",990
"ascendi","climb up","Perfect active first-person singular","I climbed up swiftly",990
"ascendo","ascend","Present indicative first-person singular","I ascend the steep path",990
"ascendo","climb up","Present indicative first-person singular","I climb up the rock face",990
"ascensum","ascend","Accusative supine","in order to ascend higher",990
"ascensum","climb up","Accusative supine","in order to climb up farther",990
"aspectum","behold","Accusative supine","in order to behold the marvel",483
"aspectum","look at","Accusative supine","in order to look at the scenery",483
"aspexi","behold","Perfect active first-person singular","I beheld a miraculous scene",483
"aspexi","look at","Perfect active first-person singular","I looked at the evidence",483
"aspicere","behold","Present active infinitive","to behold the wonder of nature",483
"aspicere","look at","Present active infinitive","to look at the sunset",483
"aspicio","behold","Present indicative first-person singular","I behold the spectacle",483
"aspicio","look at","Present indicative first-person singular","I look at the painting",483
"astri","constellation","Genitive singular","The myth behind the constellation",685
"astri","star","Genitive singular","The light of the star guided them",685
"astrum","constellation","Nominative singular","The constellation was clearly visible",685
"astrum","star","Nominative singular","A star sparkled overhead",685
"at","but yet","Conjunction","He is weary, but yet he persists",74
"at","but","Conjunction","They fought bravely, but they lost",74
"atque","and","Conjunction","He sang and rejoiced",35
"atque","than","Conjunction","His sword is sharper than a razor",35
"attuli","bring to","Perfect active first-person singular","I brought the news",514
"auctor","founder","Nominative singular","He is the founder of the settlement",546
"auctor","originator","Nominative singular","He is the originator of the theory",546
"auctoris","founder","Genitive singular","The vision of the founder",546
"auctoris","originator","Genitive singular","The idea of the originator",546
"auctoritas","authority","Nominative singular","Authority must be used wisely",898
"auctoritas","clout","Nominative singular","Her clout in court is undeniable",898
"auctoritas","influence","Nominative singular","His influence sways the council",898
"auctoritatis","authority","Genitive singular","The scope of the king's authority",898
"auctoritatis","clout","Genitive singular","The limits of her clout",898
"auctoritatis","influence","Genitive singular","The breadth of his influence",898
"auctum","increase","Accusative supine","in order to increase",709
"audacis","bold","Genitive singular","The valor of the bold warrior",876
"audacis","daring","Genitive singular","The story of the daring explorer",876
"audacis","reckless","Genitive singular","The folly of the reckless rebel",876
"audax","bold","Masculine/feminine nominative singular","He is bold in battle",876
"audax","daring","Masculine/feminine nominative singular","She is daring in every venture",876
"audax","reckless","Masculine/feminine nominative singular","He is reckless in his pursuits",876
"audeo","be eager","Present indicative first-person singular","I am eager to learn",270
"audeo","dare","Present indicative first-person singular","I dare to protest",270
"audere","be eager","Present active infinitive","to be eager for new challenges",270
"audere","dare","Present active infinitive","to dare to dream big",270
"audio","hear","Present indicative first-person singular","I hear the bell ringing",165
"audio","listen to","Present indicative first-person singular","I listen to the instructions",165
"audire","hear","Present active infinitive","to hear the announcement",165
"audire","listen to","Present active infinitive","to listen to the performance",165
"auditum","hear","Accusative supine","in order to hear the verdict",165
"auditum","listen to","Accusative supine","in order to listen carefully",165
"audivi","hear","Perfect active first-person singular","I heard the warning",165
"audivi","listen to","Perfect active first-person singular","I listened to the lecture",165
"aufero","take away","Present indicative first-person singular","I take away the plates",556
"auferre","take away","Present active infinitive","to take away the obstacles",556
"augeo","increase","Present indicative first-person singular","I increase production",709
"augere","increase","Present active infinitive","to increase production",709
"aura","breeze","Nominative singular","A gentle breeze passes by",420
"aurae","breeze","Genitive singular","The freshness of the breeze",420
"aurea","golden","Feminine nominative singular","She found a golden bracelet",691
"aurea","splendid","Feminine nominative singular","She received a splendid gift",691
"aureum","golden","Neuter nominative singular","The coin is golden",691
"aureum","splendid","Neuter nominative singular","The feast was splendid",691
"aureus","golden","Masculine nominative singular","He wears a golden crown",691
"aureus","splendid","Masculine nominative singular","He gave a splendid performance",691
"auri","gold","Genitive singular","The purity of the gold",303
"auris","ear","Genitive singular","The shape of the ear",366
"auris","ear","Nominative singular","Her ear caught the slightest sound",366
"aurum","gold","Nominative singular","Gold glitters in the sun",303
"ausus sum","be eager","Perfect indicative first-person singular","I was eager to begin the journey",270
"ausus sum","dare","Perfect indicative first-person singular","I have dared to speak out",270
"aut","or","Conjunction","Would you like tea or coffee?",24
"autem","but","Conjunction","She tried, but she failed",123
"autem","however","Conjunction","He knew the risks, however he proceeded",123
"autem","moreover","Conjunction","He agreed, moreover, he offered help",123
"auxi","increase","Perfect active first-person singular","I increased production",709
"auxilia","auxiliary forces","Nominative plural","Auxiliary forces joined the army",543
"auxilii","assistance","Genitive singular","The nature of this assistance",543
"auxilii","support","Genitive singular","The strength of that support",543
"auxiliorum","auxiliary forces","Genitive plural","The contribution of the auxiliary forces",543
"auxilium","assistance","Nominative singular","Assistance is on the way",543
"auxilium","support","Nominative singular","Support came from all sides",543
"avis","bird","Genitive singular","He admires the plumage of the bird",855
"avis","bird","Nominative singular","The bird sings at dawn",855
"barbari","barbarian","Genitive singular","The lifestyle of the barbarian was unknown",768
"barbari","foreigner","Genitive singular","The accent of the foreigner was unfamiliar",768
"barbarus","barbarian","Nominative singular","They called him a barbarian",768
"barbarus","foreigner","Nominative singular","He saw a foreigner in the marketplace",768
"beata","blessed","Feminine nominative singular","She is blessed with talent",408
"beata","fortunate","Feminine nominative singular","She is fortunate to have many friends",408
"beata","happy","Feminine nominative singular","She leads a happy life",408
"beata","prosperous","Feminine nominative singular","She became prosperous through trade",408
"beatum","blessed","Neuter nominative singular","This place is blessed",408
"beatum","fortunate","Neuter nominative singular","This arrangement is fortunate",408
"beatum","happy","Neuter nominative singular","That outcome is happy",408
"beatum","prosperous","Neuter nominative singular","The region is prosperous",408
"beatus","blessed","Masculine nominative singular","He considers himself blessed",408
"beatus","fortunate","Masculine nominative singular","He is fortunate in life",408
"beatus","happy","Masculine nominative singular","He feels happy at the news",408
"beatus","prosperous","Masculine nominative singular","He grew prosperous over the years",408
"belli","war","Genitive singular","The horrors of war",86
"bellum gerere","wage war","Present indicative first-person singular","I wage war against the invaders",237
"bellum inferre","make war on","Present indicative first-person singular","I make war on the neighbors",742
"bellum","war","Nominative singular","War brings destruction",86
"bene","well","Adverb","She performed well in the exam",235
"beneficii","kindness","Genitive singular","The memory of his kindness",182
"beneficii","service","Genitive singular","The merit of his service",182
"beneficium","kindness","Nominative singular","Kindness is never wasted",182
"beneficium","service","Nominative singular","His service benefited the community",182
"bona","good","Feminine nominative singular","She has a good heart",68
"bonum","good","Neuter nominative singular","This outcome is good",68
"bonus","good","Masculine nominative singular","He is a good man",68
"bos","ox","Nominative singular","The ox pulls the plow",808
"boum","oxen","Genitive plural","The herder tends to the oxen",808
"bovis","ox","Genitive singular","The strength of the ox is impressive",808
"breve","brief","Neuter nominative singular","The exchange was brief",589
"breve","shallow","Neuter nominative singular","The bay is shallow",589
"breve","short","Neuter nominative singular","The meeting was short",589
"brevis","brief","Masculine/feminine nominative singular","He made a brief statement",589
"brevis","shallow","Masculine/feminine nominative singular","He waded in shallow water",589
"brevis","short","Masculine/feminine nominative singular","His speech was short",589
"breviter","briefly","Adverb","They spoke briefly before leaving",992
"cadere","be killed","Present active infinitive","to be killed in action",210
"cadere","fall","Present active infinitive","to fall from grace",210
"cado","be killed","Present indicative third-person singular","He is struck and be killed (archaic usage)",210
"cado","fall","Present indicative first-person singular","I fall to the ground",210
"caeca","blind","Feminine nominative singular","She is blind in one eye",728
"caeca","dark","Feminine nominative singular","She stumbled in the dark hallway",728
"caeca","obscure","Feminine nominative singular","She read an obscure text",728
"caeca","unseeing","Feminine nominative singular","She remained unseeing of the danger",728
"caecum","blind","Neuter nominative singular","That path is blind to reason (figurative)",728
"caecum","dark","Neuter nominative singular","The night was dark",728
"caecum","obscure","Neuter nominative singular","The reference is obscure",728
"caecum","unseeing","Neuter nominative singular","This condition is unseeing of hope (figurative)",728
"caecus","blind","Masculine nominative singular","He is blind to the truth",728
"caecus","dark","Masculine nominative singular","He entered the dark cave",728
